"Str #","Mall Name","Developer","City","ST","ZIP Code","Market Area","Gross SqFt (Lease) ","Sales Area SqFt (Cnstr)","REC Approve Date","Original Opening ","Remodel Date","Lease Expires","Sales Projection","TY TTM Sales","TY Sales PSF","TY TTM Op Inc","TY TTM CF","Sales % ? vs. LY","LY TTM Sales","LY Sales PSF","LY TTM Op Inc","LY TTM CF","TTM R&O","R&O % Sales","Tenant Allowance PSF","Center Type","Cluster Name","Center Rank","Mall GLA","Shop GLA","Mall Sales PSF ","Mall Sales PSF Date ","RM / DM Wishlist","Top Tier ""A""","Forever 21","State/Area","Mills/Outlet","Street","Store Prototype ","Center Cashwrap (Y/N)","Entry Soffit (Y/N)","Cashwrap Soffit (Y/N)","Illuminated Accessory Wall (Y/N)","Illuminated Shoe Wall (Y/N)","Illuminated Window Walls (Y/N)","Floor Finish ","Brite Store Make-Up"
504,"Nittany","Preit","State College","PA",16801,"State College, PA MSA","7,139","5,268","9/6/2007","6/17/2008",,"6/30/2018","$1,500,000 ","$1,238,984 ","$174 ","($4,541)","$101,048 ","-13%","$1,420,388 ","$199 ","$186,946 ","$246,950 ","$242,556 ","19.60%","$70 ","M","Rural","C","637,486","227,000","$291 ","8-Apr",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
505,"West Park","Centro Watt","Cape Girardeau","MO",63703," ","7,306",5342,"10/16/2007","6/3/2008",,"1/31/2019","$1,500,000 ","$1,240,209 ","$170 ","$131,248 ","$211,377 ","3%","$1,208,633 ","$165 ","$224,891 ","$258,923 ","$123,322 ","9.90%","$85 ","M","Rural","C","501,743","228,000","$310 ","8-Apr",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
507,"Greenville-NC","JLL","Greenville","NC",27858," ","6,463",4844,"10/16/2007","6/3/2008",,"1/31/2019","$1,500,000 ","$1,503,040 ","$233 ","$161,165 ","$244,979 ","-11%","$1,685,529 ","$261 ","$369,834 ","$416,268 ","$232,005 ","15.40%","$70 ","M","Rural","B","534,603","199,998","$360 ","8-Mar",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
508,"Market Place-IL","GGP","Champaign","IL",61821,"Champaign--Urbana, IL MSA","6,657","4,922","9/6/2007","7/29/2008",,"7/31/2018","$1,500,000 ","$1,318,063 ","$198 ","$35,901 ","$100,470 ","-10%","$1,464,360 ","$220 ","$62,260 ","$217,002 ","$259,229 ","19.70%","$70 ","M","Urb/Sub","B","1,040,000","268,000","$365 ","8-Mar",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
509,"Gonzales Outlets","Tanger","Gonzales","LA",70737,"Baton Rouge, LA MSA","6,900","5,322","11/16/2006","6/17/2008",,"1/31/2014","$1,800,000 ","$1,636,683 ","$237 ","$182,489 ","$274,387 ","-6%","$1,733,062 ","$251 ","$378,510 ","$435,653 ","$195,669 ","12.00%","$25 ","O","Outlet","C","722,894","298,950","$280 ","9-Feb",,,,,"O",,"Brite Store","Yes","No","Yes","Yes","Yes","Yes","Vinyl","Partial"
510,"Northwoods-IL","Simon","Peoria","IL",61613,"Peoria--Pekin, IL MSA","5,761",,"2/2/2007","6/24/2011",,"6/30/2021","$1,100,000 ",,,,,,,,,,,,"$70 ","M","Rural","B","695,887","222,918","$378 ","9-Nov",,,,,,,"Brite Store",,,,,,,,
511,"Pearland Town Center","CBL","Pearland","TX",77581,"Houston-Galveston-Brazoria, TX","7,012","5,193","10/31/2006","7/30/2008",,"1/31/2019","$1,600,000 ","$996,525 ","$142 ","($175,548)","($78,025)","-17%","$1,200,690 ","$171 ","$7,813 ","$62,671 ","$294,746 ","29.60%","$70 ","LA","Lifestyle","D","1,114,561","389,230","$234 ","10-May",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
512,"Columbiana Centre","GGP","Columbia","SC",29212,"Columbia, SC MSA","7,000",5078,"11/20/2007","6/24/2008",,"6/30/2018","$1,800,000 ","$2,022,516 ","$289 ","$179,241 ","$287,410 ","0%","$2,026,561 ","$290 ","$427,121 ","$496,459 ","$341,812 ","16.90%","$70 ","M","Urb/Sub","B","744,676","259,663","$468 ","8-Apr",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
513,"Independence-MA","Pyramid","Kingston","MA",2364,"Boston-Worcester-Lawrence-Lowell-Brockton,MA-NH","6,942","5,161","11/30/2007","10/21/2008",,"1/31/2019","$1,600,000 ","$1,012,069 ","$146 ","($207,051)","($100,792)","-9%","$1,114,919 ","$161 ","($58,837)","($623)","$291,660 ","28.80%","$80 ","M","Rural","B","832,000","300,000","$400 ","8-Mar",,,,"N.Eng",,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
514,"Hudson Valley","Pyramid","Kingston","NY",12401,"NY-N. NJ-Long Island, NY-NJ-CT-PA","6,338","4,667","11/30/2007","9/23/2008",,"1/31/2019","$1,500,000 ","$882,444 ","$139 ","($190,318)","($99,189)","-9%","$967,942 ","$153 ","($31,030)","$18,372 ","$289,708 ","32.80%","$85 ","M","Rural","B","767,300",,"$375 ","8-Mar",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
515,"Rehoboth Beach Outlets","Tanger","Rehoboth Beach","DE",19971,"Dover-Salisbury, DE--MD MSA","6,453","4,781","11/1/2007","8/19/2008",,"1/31/2014","$2,000,000 ","$1,829,916 ","$284 ","$181,181 ","$263,459 ","-2%","$1,860,520 ","$288 ","$378,021 ","$424,648 ","$304,633 ","16.60%","$25 ","O","Outlet","B","630,000","221,000","$415 ","9-Feb",,,,,"O",,"Brite Store","Yes","No","Yes","Yes","Yes","Yes","Vinyl","Partial"
516,"Eastridge-NC","Westfield Corp.","Gastonia","NC",28054,"Charlotte--Gastonia--Rock Hill, NC--SC MSA","7,073","5,315","12/17/2007","9/9/2008",,"1/31/2019","$1,500,000 ","$934,388 ","$132 ","($121,328)","($27,050)","2%","$919,411 ","$130 ","($84,205)","($28,801)","$252,034 ","41.40%","$70 ","M","Rural","D","771,967","170,000","$222 ","9-Feb",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
517,"Summit Mall","Simon","Akron","OH",44333,"Cleveland-Akron, OH","6,477","4,897","8/22/2007","8/26/2008",,"1/31/2019","$1,600,000 ","$1,192,846 ","$184 ","($35,863)","$60,956 ","-6%","$1,273,196 ","$197 ","$99,100 ","$175,675 ","$279,154 ","23.40%","$60 ","M","Rural","B","764,233","373,726","$365 ","8-Mar",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
519,"Las Catalinas","Vornado","Caugas","PR",725,"Puerto Rico","6,232","4,551","12/11/2007","6/13/2009",,"6/30/2019","$2,100,000 ","$1,976,537 ","$317 ","($49,372)","$75,097 ","54%","$1,281,778 ","$206 ","$76,651 ","$206,229 ","$354,178 ","17.90%","$25 ","M","Mall","A","568,280",,"$540 ","8-Jun",,,,"PR",,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
521,"Ellenton Premium Outlets","Chelsea Property Group","Ellenton","FL",34222,"Ellenton, FL","7,000","4,876","1/24/2008","8/29/2008",,"1/31/2019","$2,100,000 ","$1,725,233 ","$246 ","$2,016 ","$116,713 ","2%","$1,689,971 ","$241 ","$143,160 ","$243,720 ","$386,972 ","22.40%","$25 ","O","Outlet","B","477,000",,"$450 ","9-Feb",,,,,"O",,"Brite Store","Yes","No","Yes","Yes","Yes","Yes","Vinyl","Partial"
522,"Southcenter-WA","Westfield Corp.","Seattle","WA",98188,"Seattle-Tacoma-Bremerton, WA","7,265","4,826","1/17/2007","11/18/2008",,"1/31/2019","$3,000,000 ","$2,639,564 ","$363 ","$50,714 ","$216,889 ","-5%","$2,769,258 ","$381 ","$278,551 ","$407,710 ","$656,141 ","24.90%","$40 ","M","Mall","B","1,200,000","272,000","$450 ","9-Feb",,"A","F21","N.W.",,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
523,"Puerto Rico Outlets","Prime Retail","Barceloneta","PR",617,"Puerto Rico","7,000","5,401","11/17/2007","11/14/2008",,"1/31/2019","$2,000,000 ","$2,458,460 ","$351 ","$55,883 ","$196,243 ","-7%","$2,642,844 ","$378 ","$433,462 ","$535,500 ","$356,753 ","14.50%","$35 ","O","Outlet","B","176,354",,"$444 ","8-Oct",,,,"PR","O",,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes",,"Full"
525,"Wiregrass, Shops @","Forest City","Wesley Chapel","FL",55036,"Tampa--St. Petersburg--Clearwater, FL MSA","6,539","4,943","9/6/2007","10/30/2008",,"12/31/2018","$1,800,000 ","$1,178,139 ","$180 ","($108,264)","($6,414)","-12%","$1,335,892 ","$204 ","$30,659 ","$97,363 ","$324,957 ","27.60%","$55 ","LA","Lifestyle","A","1,158,496","470,679",,"8-Apr",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Tile","Full"
526,"Oaks, The","Macerich","Thousand Oaks","CA",91360,"Oxnard-Thousand Oaks-Ventura","7,265","5,524","6/28/2006","9/16/2008",,"1/31/2019","$2,400,000 ","$805,321 ","$111 ","($609,534)","($519,497)","-24%","$1,061,508 ","$146 ","($385,763)","($306,375)","$595,994 ","74.00%","$35 ","M","Mall","B","1,084,067","357,992","$465 ","10-Jul",,,"F21","CA",,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Tile","Full"
527,"Jersey Shore Outlets","Chelsea Property Group","Tinton Falls","NJ",37601,"NY-N. NJ-Long Island, NY-NJ-CT-PA","7,002","5,004","10/16/2007","11/13/2008",,"1/31/2019","$2,200,000 ","$1,503,640 ","$215 ","($198,086)","($68,312)","12%","$1,344,669 ","$192 ","($139,818)","($31,601)","$436,974 ","29.10%",,"O","Outlet","B","562,644","249,449",,"8-Mar",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
533,"Camarillo Outlets","Chelsea Property Group","Camarillo","CA",93010,"Oxnard-Thousand Oaks-Ventura","7,017","5,302","1/24/2008","4/23/2009",,"4/30/2019","$2,200,000 ","$2,085,320 ","$297 ","$114,395 ","$219,081 ","26%","$1,657,558 ","$236 ","$190,935 ","$315,245 ","$388,388 ","18.60%","$25 ","O","Outlet","A","454,070",,"$603 ","9-Feb",,"A",,"CA","O",,"Simon 101","Yes","No","Yes","Yes","No","No","Sealed Concrete","Partial"
534,"Midland Park","Simon","Midland","TX",79705,"Odessa--Midland, TX MSA","6,500","4,835","8/15/2007","5/5/2009",,"5/31/2019","$1,600,000 ","$1,700,846 ","$262 ","$171,655 ","$274,749 ","31%","$1,298,962 ","$200 ","$250,540 ","$369,996 ","$307,629 ","18.10%","$60 ","M","Rural","B","11/19/2015",,"$398 ","8-Jul",,,,,,,"Simon 101",,,,,,,"Vinyl",
535,"Granite Run","Simon","Media","PA",19063,"Philadelphia-Wil-Atl Cty, PA-NJ-DE-MD","7,687","5,846","8/15/2007","5/12/2009",,"5/31/2018","$1,600,000 ","$1,043,634 ","$136 ","($23,881)","$86,321 ","24%","$839,379 ","$109 ","$70,932 ","$208,356 ","$173,837 ","16.70%","$60 ","M","Urb/Sub","D","3/30/1952",,"$290 ","8-Oct",,,,,,,"Simon 101",,,,,,,,
536,"Gulf View Square","Simon","Port Richey","FL",34668,"Tampa--St. Petersburg--Clearwater, FL MSA","6,217","4,494","8/15/2007","5/19/2009",,"5/31/2019","$1,500,000 ","$855,176 ","$138 ","($79,932)","$7,645 ","42%","$601,345 ","$97 ","($21,916)","$99,736 ","$124,617 ","14.60%","$70 ","M","Urb/Sub","C","6/24/2019",,"$330 ","8-Mar",,,,,,,"Simon 101",,,,,,,,
537,"McCain","Simon","N Little Rock","AR",72116,"Little Rock-North Little Rock-Conway, AR MSA","5,880","4,330","8/15/2007","6/2/2009",,"6/30/2019","$1,600,000 ","$1,202,548 ","$205 ","$56,492 ","$151,864 ","28%","$942,203 ","$160 ","$98,546 ","$229,907 ","$181,543 ","15.10%","$60 ","M","Rural","C","758,051","211,216","$330 ","8-Apr",,,,,,,"Simon 101",,,,,,,,
538,"VCC","Simon","Glen Allen","VA",23059,"Richmond--Petersburg, VA MSA","7,359","5,709","8/15/2007","5/14/2010",,"5/31/2020","$1,600,000 ","$1,275,000 ","$173 ","$9,179 ","$70,698 ",,"$0 ","$0 ","$0 ","$0 ","$2,776 ","0.20%","$60 ","M","Urb/Sub","C","1,100,000","376,246","$320 ","8-Oct",,,,,,,,,,,,,,,
539,"Lincolnwood","Simon","Lincolnwood","IL",60712,"Chicago-Gary-Kenosha, IL-IN-WI","6,405","4,782","8/15/2007","5/5/2009",,"4/30/2019","$1,600,000 ","$1,271,912 ","$199 ","$25,560 ","$137,847 ","25%","$1,016,312 ","$159 ","$168,222 ","$273,070 ","$198,385 ","15.60%","$60 ","M","Rural","C","2/4/1967",,"$330 ","8-Mar",,,,,,,"Simon 101",,,,,,,,
542,"Tyson's Corner","Macerich","Mc Lean","VA",22012,"Washington-Baltimore, DC-MD-VA-WV","6,399","4,649","9/6/2007","9/20/2009",,"1/31/2020","$3,300,000 ","$1,943,730 ","$304 ","($358,210)","($209,631)","134%","$830,993 ","$130 ","($12,999)","$131,393 ","$760,359 ","39.10%",,"M","Mall","A","1,900,000",,"$668 ","10-Aug",,"A","F21",,,,"L.A Boutique",,,,,,,,
543,"Grove City Premium Outlets","Chelsea Property Group","Grove City","PA",16137,"Sharon, PA MSA","6,026","4,582","2/6/2008","8/29/2008",,"1/31/2019","$1,700,000 ","$1,775,377 ","$295 ","$197,112 ","$298,428 ","8%","$1,640,474 ","$272 ","$275,166 ","$359,292 ","$249,531 ","14.10%","$25 ","O","Outlet","B","525,000","525,000","$378 ","8-Oct",,,,,"O",,"Brite Store","Yes","No","Yes","Yes","Yes","Yes","Vinyl","Partial"
544,"Tuttle Crossing","Simon","Dublin","OH","43016-1533","Columbus, OH MSA","7,479","5,433","2/6/2008","9/16/2008",,"1/31/2019","$2,000,000 ","$1,517,121 ","$203 ","($94,388)","$20,900 ","-7%","$1,637,837 ","$219 ","$68,654 ","$155,538 ","$464,357 ","30.60%","$51 ","M","Urb/Sub","B","1,105,000","271,533","$500 ","8-Mar",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
545,"St. Claire Square","CBL","Fairview Height","IL",62208,"St. Louis, MO--IL MSA","7,692","5,913","2/6/2008","9/9/2008",,"1/31/2019","$1,800,000 ","$1,512,351 ","$197 ","($48,354)","$49,078 ","-13%","$1,744,678 ","$227 ","$215,914 ","$270,083 ","$392,010 ","25.90%","$70 ","M","Urb/Sub","B","1,008,266","283,000","$427 ","8-Apr",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Tile","Full"
548,"Trumbull","Westfield Corp.","Trumbull","CT",6611,"New Haven-Bridgeport-stamford-Waterbury-Danbury, CT","6,393","4,926","2/20/2008","10/21/2008",,"1/31/2019","$2,000,000 ","$1,301,394 ","$204 ","($266,904)","($136,327)","-6%","$1,387,593 ","$217 ","($112,227)","($16,262)","$425,967 ","32.70%","$50 ","M","Urb/Sub","B","1,196,000",,"$397 ","8-Aug",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
553,"St. Augustine Outlets","Prime Retail","St. Augustine","FL",32084,"Jacksonville, FL MSA","7,000","5,429","1/24/2008","10/7/2008",,"1/31/2019","$1,400,000 ","$1,049,642 ","$150 ","($33,197)","$54,855 ","-4%","$1,091,187 ","$156 ","$122,574 ","$175,723 ","$158,184 ","15.10%","$50 ","O","Outlet","B","255,000",,"$360 ","8-Oct","OPS",,,,"O",,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
554,"Danbury Fair","Macerich","Danbury","CT",6810,"New Haven-Bridgeport-stamford-Waterbury-Danbury, CT","5,667","4,125","1/29/2009","9/15/2009",,"1/31/2020","$2,300,000 ","$1,726,190 ","$305 ","$37,542 ","$167,767 ","99%","$868,840 ","$153 ","$174,371 ","$254,638 ","$425,894 ","24.70%",,"M","Mall","A","1,300,000",,"$538 ","10-Jul",,"A","F21",,,,"L.A Boutique",,,,,,,,
556,"Round Rock Outlets","Chelsea Property Group","Round Rock","TX",78664,"Austin--San Marcos, TX MSA","4,523","3,546","3/17/2009","8/31/2009",,"1/31/2020","$1,500,000 ","$1,256,820 ","$278 ","$77,623 ","$144,862 ","178%","$452,175 ","$100 ","$33,483 ","$71,552 ","$201,513 ","16.00%","$25 ","O","Outlet","B","430,000",,"$325 ","9-Feb","DM",,,,"O",,"Outlet L.A Boutique Hybrid",,,,,,,"Concrete",
557,"Crossings Premium Outlets, The","Chelsea Property Group","Tannersville","PA",18372,"Tannersville","3,800","2,815","3/17/2009","10/24/2009",,"1/31/2020","$1,500,000 ","$1,586,933 ","$418 ","$251,417 ","$303,422 ","408%","$312,390 ","$82 ","$869 ","$47,480 ","$193,154 ","12.20%","$25 ","O","Outlet","B","411,391",,"$450 ","8-Sep",,,,,"O",,"Outlet L.A Boutique Hybrid",,,,,,,"Concrete",
558,"Jackson Premium Outlet","Chelsea Property Group","Jackson","NJ",8527,"Jackson, NJ","4,401","3,383","3/17/2009","10/17/2009",,"1/31/2020","$1,535,000 ","$1,258,174 ","$286 ","$14,740 ","$77,409 ","299%","$315,619 ","$72 ","($24,209)","$30,332 ","$233,293 ","18.50%","$25 ","O","Outlet","B","285,552",,"$438 ","9-Feb",,,,,"O",,"Outlet L.A Boutique Hybrid",,,,,,,,
559,"Vacaville Premium Outlets","Chelsea Property Group","Vacaville","CA",95687,"Vallejio-Fairfield, CA MSA","5,600","4,266","3/17/2009","9/20/2009",,"1/31/2020","$1,600,000 ","$2,198,870 ","$393 ","$385,342 ","$464,697 ","222%","$682,973 ","$122 ","$140,272 ","$191,149 ","$218,069 ","9.90%","$25 ","O","Outlet","B","447,725",,"$390 ","9-Feb",,,,,"O",,"Outlet L.A Boutique Hybrid",,,,,,,"Concrete",
560,"Orlando Premium Outlet - Vineland Ave","Chelsea Property Group","Orlando","FL",32821,"Orlando, FL MSA","5,592","4,481","3/17/2009","10/10/2009",,"1/31/2020","$3,200,000 ","$3,190,451 ","$571 ","$463,111 ","$558,572 ","328%","$745,123 ","$133 ","($3,219)","$119,311 ","$609,857 ","19.10%","$25 ","O","Outlet","A","435,813",,"$1,242 ","9-Feb","RM","A",,,"O",,"Outlet L.A Boutique Hybrid",,,,,,,"Concrete",
561,"Albertville Premium Outlets","Chelsea Property Group","Albertville","MN",55301,"Minneapolis--St. Paul, MN--WI MSA","4,000","2,969","3/17/2009","10/11/2009",,"1/31/2020","$1,500,000 ","$1,698,080 ","$425 ","$367,294 ","$418,476 ","352%","$375,919 ","$94 ","$50,582 ","$82,633 ","$155,072 ","9.10%","$25 ","O","Outlet","B","314,000",,"$355 ","9-Feb",,,,,"O",,"Outlet L.A Boutique Hybrid",,,,,,,"Concrete",
562,"Edinburgh Outlet Center","Chelsea Property Group","Edinburgh","IN",46124,"Indianapolis, IN MSA","5,400","4,242","3/17/2009","10/24/2009",,"1/31/2020","$1,400,000 ","$1,414,372 ","$262 ","$169,515 ","$221,970 ","314%","$341,241 ","$63 ","$27,576 ","$65,735 ","$163,845 ","11.60%","$25 ","O","Outlet","B","371,117",,"$330 ","9-Feb",,,,,"O",,"Outlet L.A Boutique Hybrid",,,,,,,"Concrete",
563,"Osage Beach Premium Outlet","Chelsea","Osage Beach","MO",65065,"Jefferson City, MO MSA","4,306","3,316","3/17/2009","11/7/2009",,"1/31/2020","$1,300,000 ","$1,303,966 ","$303 ","$261,664 ","$296,761 ","460%","$232,931 ","$54 ","$48,570 ","$61,228 ","$70,758 ","5.40%","$25 ","O","Outlet","C","400,429",,"$282 ","9-Feb",,,,,"O",,"Outlet L.A Boutique Hybrid",,,,,,,"Concrete",
564,"Allen Premium Outlets","Chelsea Property Group","Allen","TX",75013,"Dallas-Fort Worth, TX","5,518","4,171","3/17/2009","11/7/2009",,"1/31/2020","$1,560,000 ","$1,753,032 ","$318 ","$294,341 ","$347,526 ","445%","$321,763 ","$58 ","$21,468 ","$61,618 ","$232,094 ","13.20%","$25 ","O","Outlet","B","413,492",,"$390 ","8-Oct",,"A",,,"O",,"Outlet L.A Boutique Hybrid",,,,,,,,
565,"Cincinnati Premium Outlet","Chelsea Property Group","Monroe","OH",45050,"Cincinnati-Hamilton, OH-KY-IN","6,000","4,646","3/17/2009","10/31/2009",,"1/31/2020","$1,400,000 ","$1,363,026 ","$227 ","$109,641 ","$158,673 ","327%","$319,091 ","$53 ","$33,472 ","$66,214 ","$189,979 ","13.90%","$25 ","O","Outlet","B",,,,"9-Feb",,,,,,,"Outlet L.A Boutique Hybrid",,,,,,,"Concrete",
566,"Kittery Premium Outlets","Chelsea Property Group","Kittery","ME",3904,"New Hampshire, NH MSA","4,555","3,460","3/17/2009","11/7/2009",,"1/31/2020","$1,400,000 ","$1,031,718 ","$227 ","($61,644)","($8,193)","591%","$149,301 ","$33 ","($58,293)","($23,234)","$233,769 ","22.70%","$25 ","O","Outlet","A",,,"$465 ","9-Feb",,"A",,,"O",,"Outlet L.A Boutique Hybrid",,,,,,,"Concrete",
567,"Leesburg Corner Premium Outlets","Chelsea Property Group","Leesburg","VA",20176,"Washington-Baltimore, DC-MD-VA-WV","6,267","4,690","3/17/2009","6/10/2010",,"1/31/2020","$2,000,000 ","$1,900,000 ","$303 ","$9,604 ","$96,568 ",,"$0 ","$0 ","$0 ","$0 ","$177,893 ","9.40%","$25 ","O","Outlet","A","463,288",,"$490 ","9-Feb",,"A",,,"O",,"Outlet L.A Boutique Hybrid",,,,,,,"Concrete",
569,"Northpark-TX","North Park","Dallas","TX",75206,"Dallas-Fort Worth, TX","4,573","3,243","5/14/2009","11/2/2009",,"1/31/2020","$2,300,000 ","$1,421,732 ","$311 ","($55,702)","$70,839 ","361%","$308,257 ","$67 ","($2,224)","$68,566 ","$356,825 ","25.10%",,"M","Mall","A","1,600,000","2/11/1964","$625 ","9-Apr","RM","A","F21",,,,"L.A Boutique",,,,,,,,
570,"Fashion Outlets of Niagara Falls","Talisman","Niagara Falls","NY",14304,"Buffalo--Niagara Falls, NY MSA","4,942","3,838","5/14/2009","5/7/2010",,"1/31/2020","$1,600,000 ","$1,850,000 ","$374 ","$187,314 ","$236,391 ",,"$0 ","$0 ","$0 ","$0 ","$121,084 ","6.50%",,"O","Outlet","A","534,000",,"$650 ","9-Jan",,,,,"O",,"Outlet L.A Boutique Hybrid",,,,,,,"Concrete",
573,"La Cantera","GGP","San Antonio","TX",78256,"San Antonio, TX MSA","5,926","4,345","3/17/2009","10/11/2009",,"1/31/2020","$1,800,000 ","$1,808,352 ","$305 ","$297,644 ","$396,164 ","252%","$513,605 ","$87 ","$42,791 ","$158,656 ","$274,893 ","15.20%",,"M","Mall","A","1,300,000",,"$660 ","9-Feb","DM","A","F21",,,,"L.A Boutique",,,,,,,"Tile",
575,"Santa Monica Place","Macerich","Santa Monica","CA",90401,"Los Angeles-Long Beach","5,177","4,597","8/2/2010","8/6/2010",,"1/31/2021","$1,700,000 ","$1,500,000 ","$290 ","($258,358)","($152,903)",,"$0 ","$0 ","$0 ","$0 ","$121,670 ","8.10%",,"M","Mall","A","556,933","3/26/1939",,,,"A",,"CA",,,,,,,,,,"Tile",
576,"Cambridgeside Galleria","New England Development","Cambridge","MA",2141,"Boston-Cambridge-Quincy, MA-NH ","5,210","4,592","3/28/2010","10/8/2010",,"1/31/2021","$2,200,000 ","$2,325,000 ","$446 ","($99,563)","$9,274 ",,"$0 ","$0 ","$0 ","$0 ","$54,141 ","2.30%",,"M","Mall","A","900,000","2/16/1976","$560 ","9-Nov","OPS","A",,"N.Eng",,,,,,,,,,"Tile",
577,"Old Orchard","Westfield Corp.","Skokie","IL","60077-1431","Chicago-Naperville-Joliet, IL-IN-WI ","5,405",,"6/8/2010","11/18/2010","12/6/2013",,"$2,000,000 ",,,,,,,,,,"$43,780 ",,,"M","Mall","A","1,837,000","3/4/2017","$524 ","10-Jul","DM","A","F21",,,,,,,,,,,"Tile",
578,"Irvine Spectrum","The Irvine Company","Irvine","CA",92618,"Orange County","5,764",,"8/31/2010","5/6/2011",,,"$2,000,000 ",,,,,,,,,,,,,"LA","Lifestyle","A",,,"$520 ","10-Jul",,,"F21","CA",,,,,,,,,,,
580,"The Woodlands-TX","GGP","The Woodlands","TX",77380,"Houston-Sugar Land-Baytown, TX MSA","6,201",,"11/9/2010",2011,,,"$1,800,000 ",,,,,,,,,,,,,"M","Mall","A","1,177,713","350,000","$575 ","10-May","DM","A","F21",,,,,,,,,,,,
581,"West Town Mall","Simon","Knoxville","TN",37919,"Knoxville, TN MSA","5,040",,"11/9/2010","7/15/2011",,,"$1,800,000 ",,,,,,,,,,,,,"M","Mall","A","1,328,720","449,303","$520 ","10-Jun","DM",,,,,,,,,,,,,,
,"Riverchase Galleria","GGP","Birmingham","AL",35244,"Birmingham-Hoover, AL MSA",,,,,,,,,,,,,,,,,,,,"M","Urb/Sub","B","1,550,000","626,271","$492 ","9-Jan","DM","A",,,,,"Brite Store",,,,,,,,
,"Powell Street","Ed Plant","San Francisco","CA",94102,"San Francisco-Oakland-Fremont, CA",,,,2010,,,,,,,,,,,,,,,,"S","Street",,,,,,,"A","F21","CA",,"S",,,,,,,,,
,"Broadway Plaza-CA","Macerich","Walnut Creek","CA",91307,"San Francisco-Oakland-Fremont, CA",,,,,,,,,,,,,,,,,,,,"M","Mall","A","696,395","251,395","$640 ","9-Nov",,"A",,"CA",,"S",,,,,,,,,
,"Soho","Staubach Broker","New York","NY",10012,"New York-Northern New Jersey-Long Island, NY-NJ-PA",,,,2010,,,,,,,,,,,,,,,,"S","Street",,,,,,,,,,,"S",,,,,,,,,
,"Lower Broadway",,"New York","NY",10002,"New York-Northern New Jersey-Long Island, NY-NJ-PA",,,,2010,,,,,,,,,,,,,,,,"S","Street",,,,,,,,,,,"S",,,,,,,,,
,"Upper East Side",,"New York","NY",10021,"New York-Northern New Jersey-Long Island, NY-NJ-PA",,,,,,,,,,,,,,,,,,,,"S","Street",,,,,,,,,,,"S",,,,,,,,,
,"Wrentham Village Premium Outlets","Chelsea Property Group","Wrentham","MA",2093,"Wrentham, MA",,,,,,,,,,,,,,,,,,,,"O","Outlet","A","600,000",,"$655 ","9-Feb","OPS","A",,"MD","O",,,,,,,,,,
,"Carlsbad Premium Outlets","Chelsea Property Group","Carlsbad","CA",92008,"San Diego-Carlsbad-San Marcos, CA MSA",,,,,,,,,,,,,,,,,,,,"O","Outlet","A",,,"$695 ","8-Sep","DM",,,"CA","O",,,,,,,,,,
,"Chicago Premium Outlets","Chelsea Property Group","Aurora","IL",60502,"Chicago-Naperville-Joliet, IL-IN-WI ",,,,2009,,,,,,,,,,,,,,,,"O","Outlet","A",,,"$550 ","8-Sep","OPS","A",,,"O",,,,,,,,,,
,"Woodbury Commons","Chelsea Property Group","Central Valley","NY",10917,"Poughkeepsie-Newburgh-Middletown, NY ",,,,2010,,,,,,,,,,,,,,,,"O","Outlet","A",,,"$1,000 ","9-Feb","DM",,,,"O",,,,,,,,,,
,"Outlet Shoppes @ El Paso, The","Horizon Group","El Paso","TX",,"El Paso, TX MSA",,,,2009,,,,,,,,,,,,,,,,"O","Outlet","B","378,000",,"$350 ","9-May","OPS",,,,"O",,,,,,,,,,
